Year,COURSE CODE,"1. As a complete and useful guide for the course, the syllabus was: ",2. Relevance of activities and assignments to course goals was:,"3. Relevance of required readings (websites, articles, text, etc.) ",4. The effectiveness of the delivery format was: ,"5. Overall, the course content was: ",COURSE CONTENT,1. Quality and helpfulness of the mentor feedback was: ,2. Timely response by the mentor for inquiries was: ,3. MentorÂs availability for extra help was: ,"4. Overall, the mentor was: ",MENTOR
2021,BAHRM6303,3,3,3,3,3, ,3,3,3,3, 
2021,BAHRM6303,5,5,5,5,5, ,5,5,5,5, 
2022,BAHRM6303,5,5,5,5,5, ,5,5,5,5, 
2022,BAHRM6303,5,5,5,5,5, ,5,5,5,5, 
2022,BAHRM6303,5,5,5,5,5, ,5,5,5,5, 
2022,BAHRM6303,5,5,5,5,5, ,4,4,4,4, 
2022,BAHRM6303,4,4,4,4,4, ,4,4,4,4,more virtual class
2022,BAHRM6303,5,5,5,5,5, ,5,5,5,5, 
2022,BAHRM6303,4,4,4,4,4, ,4,4,4,4, 
2022,BAHRM6303,5,5,5,5,5,Please dont confuse us. some questions have the same choices but when you chose the same answer itÂs still wrong. K,5,5,5,5,"Thank you, prof! I like the way how you made a virtual class ang explain the weekly module. This is very helpful. Especially on how you explain the topic. It feels great to be in your class. Thank you."
2022,BAHRM6303,5,5,5,5,5,"The modules are really reader-friendly and informative. The quizzes, however, requires a re-checking of answers especially on the fill in the blanks section. I have encountered some questions wherein the answers are correct, but because of the lapses in spacing of words, the mark becomes incorrect.",5,5,5,5, 
2022,BAHRM6303,5,5,5,5,5,good,5,5,5,5,good
2022,BAHRM6303,5,5,5,5,5, ,5,5,5,5, 
2022,BAHRM6303,4,4,4,4,4, ,4,3,3,4,THANK YOU M'AM!
2023,PHIL121,2,4,3,2,3, ,3,3,3,3, 
2023,PHIL121,3,3,3,3,3, ,3,3,3,3, 
2023,STAT112,5,4,5,4,5, ,5,4,5,4, 
2023,PEDH121,3,3,3,3,3, ,3,3,3,3, 
2023,PSYC6401,5,5,5,5,5, ,5,5,5,5, 
2023,ENGL121,5,5,5,5,5,I loved it. Better than plain modules.,5,5,5,5, 
2023,HMRM112,5,4,5,4,5, ,5,4,5,4, 
2023,ENGL6335,4,4,4,4,4, ,5,5,5,5, 
2023,MATH6100,3,3,4,4,4, ,4,4,4,4, 
2023,PEDH122,2,3,1,1,1,"modules were full of imcomplete sentences with a lot of repetetive information, that was difficult to interpret.

The assignments and quizzes were repeating the same questions within the same quizzes and some questions were extremely ambigous.",3,3,3,3, 
2023,ICT112,4,4,4,4,4, ,5,5,4,4, 
2023,PHIL121,4,4,4,3,4, ,4,5,4,4, 
2023,PHIL121,4,4,3,4,4, ,5,4,4,4, 
2023,UCSP111,4,5,5,5,5, ,4,5,4,5, 
2023,UCSP111,5,4,4,4,4, ,4,5,4,4, 
2023,ELSC111,4,4,4,4,4, ,5,5,4,5, 
2023,ELSC111,4,5,4,4,4, ,5,5,4,5, 
2023,PEDH112,5,5,5,5,5, ,5,5,5,5, 
2023,MEIL122,3,3,3,3,3, ,3,3,3,3, 
2023,REM6122,3,3,3,3,3, ,3,3,3,3, 
2023,RSCH122,4,4,4,4,4, ,4,4,4,4, 
2023,PEDH122,1,1,1,1,1, ,3,3,3,3, 
2023,GE6104,4,4,3,4,4, ,4,4,4,4, 
2023,EDUC241,5,5,5,5,5,This course or subject is by far the best in all aspects that I'm looking for an online learning.,5,5,5,5, 
2023,GE6101,5,5,4,4,4,The online video must be more lecture tackle ,5,5,5,5,I'm stisfied at all
2023,NSCI6100,5,5,5,5,4, ,5,5,5,5, 
2023,CS6326,4,4,4,4,4, ,4,4,4,4, 
2023,ENGL6232,3,3,3,3,3, ,4,4,4,4, 
2023,HUMSS126,5,5,5,5,5, ,5,5,5,5, 
2023,COMP121,4,4,4,4,4,Effective,4,4,4,4,Excellent
2023,MBA001,5,5,5,5,5,If the content was in text format it would be easier to search,5,5,5,5,"Thank you Prof Lopez, you're great. "
2023,PSYC6302,5,5,5,4,5, ,5,5,5,5, 
2023,PSYC6101,4,4,4,4,4, ,3,3,3,3, 
2023,GE6106,5,5,5,5,5, ,5,5,5,5, 
2023,PEDH122,5,5,5,5,5, ,5,5,5,5, 
2023,CHEM122,4,3,4,4,4, ,4,4,4,4, 
2023,GE6100,5,5,5,5,5, ,4,4,4,4, 
