Date,Feedback,Department,Category,,
2019,"Because this is the most convenient set-up for me, I want to finish my degree but at my age of 36, I feel like, in a traditional class, i will feel out of place. And I am a mom I cannot afford to be away from home regularly.",All Units,Why did you enroll,,
2019,AMA Oed offers the flexibility and convenience that I needed to finish my undergraduate degree.,All Units,Why did you enroll,,
2019,"To study,to improve my knowledge...",All Units,Why did you enroll,,
2019,"Its always my dream to be a computer engineer, and AMA University is one of the best computer school in the Philippines. Now because of AMA OEd I will have a chance to finish my degree hopefully.",All Units,Why did you enroll,,
2019,I enroll at AMA OEd because this is the most flexible way for me to earn Bachelors Degree without stopping my work and earn.,All Units,Why did you enroll,,
2019,to pursue my Masters thru online class,All Units,Why did you enroll,,
2019,To get a degree in the field of information technology.,All Units,Why did you enroll,,
2019,I enrolled at AMA OEd becaue I really want to finish my Bachelor's Degree since I am already working as an Operations Trainer in a BPO Company and because of my graveyard schedule I can't enroll in a University where I needed to be physically present. I am 22 years old and finishing my study is really important to me.,All Units,Why did you enroll,,
2019,Pursuing my degree in a traditional school while supporting my family is hard especially when you're in a BPO industry and working in a graveyard shift. AMA OEd gave me the chance to continue my studies while providing for my family. I can study during my free time and breaks and I still get to have a complete rest because everything is done online.,All Units,Why did you enroll,,
2019,Because of the flexibility it offers to the students and also so I can study at the comfort of my home.,All Units,Why did you enroll,,
2019,because AMA is providing a high quality distance education to those people who really want finish there degree.,All Units,Why did you enroll,,
2019,To have a BS degree,All Units,Why did you enroll,,
2019,I wanted to continue my studies while I'm overseas,All Units,Why did you enroll,,
2019,"I choose AMA Oed because aside for its being well known school,it is the first full online education program in the Philippines. Im taking up BSBA-MIS which is in line with my current work right now as Finance and HR.",All Units,Why did you enroll,,
2019,I enroll at AMA OEd because i have disease called ankylosing spondylitis and rheumatoid arthritis that's why I enroll here.,All Units,Why did you enroll,,
2019,To learn more in the engineering field which is in line with my work,All Units,Why did you enroll,,
2019,To become a degree holder,All Units,Why did you enroll,,
2019,I want to succeed my ultimate goal in life; to finished my studies.,All Units,Why did you enroll,,
2019,because of my conflict schedule in my work and study.so that the reason why i choice Oed.,All Units,Why did you enroll,,
2019,I enrolled at AMA to be able to finish my degree even if I work full-time.,All Units,Why did you enroll,,
2019,"I belong to the overseas filipino workers category and currently working outside the country. AMA Oed is the only online school that can give me flexibility in terms of my working schedule, it can also give me value when it comes to tuition fees as the tuition is not that much costly compared to other school. In addition to this, AMA has already established a name in the country and here also in the Middle East (Bahrain). When I want good and quality education of course, I want to graduate from a reputed and good university. And because they are the pioneer in computer studies in the country, the portal and the system that the online students are using is hassle free and interactive.",All Units,Why did you enroll,,
2019,I want to finish my studies and have a degree but I cant make it to traditional school that is why I enrolled at AMAU OEd. This is the only school that fits for me since I have a baby to take care of. I'm happy now that I can finally finish what I've started and at the same time I can take care of my family.,All Units,Why did you enroll,,
2019,I wanted to finish my studies,All Units,Why did you enroll,,
2019,To finish my degree.,All Units,Why did you enroll,,
2019,i enroll in AMA OEDd to learn and finish college.,All Units,Why did you enroll,,
2019,I enrolled because I wanted to get a degree that is convenient to my schedule.,All Units,Why did you enroll,,
2019,I wanted to finish po my degree and the only possible way po is through Online University since I'm currently residing sa Singapore and may 3 po ako na anak na ina-alagaan.,All Units,Why did you enroll,,
2019,To be able to continue and finish my studies.,All Units,Why did you enroll,,
2019,I am only graduated for 2 years course and suddenly migrated to another country so I don't have any means go back to regular schooling since I am already out of the country. Then i found out AMA OEd it gives me hope to study again so i grabbed the opportunity.,All Units,Why did you enroll,,
2019,convenience and easy access to people like me who does not have much time to go to regular universities to take our masters.,All Units,Why did you enroll,,
2019,"It's online. I can easily juggle my work, family, and educational needs.",All Units,Why did you enroll,,
2019,Because I wanted to finish my degree.,All Units,Why did you enroll,,
