Date,Feedback,Department,Category,Type,Feedback_English,English_Cleaned_Feedback,Sentiment Compound,Sentiment Label
2019,"Because this is the most convenient set-up for me, I want to finish my degree but at my age of 36, I feel like, in a traditional class, i will feel out of place. And I am a mom I cannot afford to be away from home regularly.",All Units,Why did you enroll,VOC,"Because this is the most convenient set-up for me, I want to finish my degree but at my age of 36, I feel like, in a traditional class, i will feel out of place. And I am a mom I cannot afford to be away from home regularly.",convenient set want finish degree age feel like traditional class feel place mom afford away home regularly,0.4215,Positive
2019,AMA Oed offers the flexibility and convenience that I needed to finish my undergraduate degree.,All Units,Why did you enroll,VOC,AMA Oed offers the flexibility and convenience that I needed to finish my undergraduate degree.,ama oed offer flexibility convenience need finish undergraduate degree,0.34,Positive
2019,"To study,to improve my knowledge...",All Units,Why did you enroll,VOC,"To study,to improve my knowledge...",study improve knowledge,0.4404,Positive
2019,"Its always my dream to be a computer engineer, and AMA University is one of the best computer school in the Philippines. Now because of AMA OEd I will have a chance to finish my degree hopefully.",All Units,Why did you enroll,VOC,"Its always my dream to be a computer engineer, and AMA University is one of the best computer school in the Philippines. Now because of AMA OEd I will have a chance to finish my degree hopefully.",always dream computer engineer ama university one best computer school philippine ama oed chance finish degree hopefully,0.872,Positive
2019,I enroll at AMA OEd because this is the most flexible way for me to earn Bachelors Degree without stopping my work and earn.,All Units,Why did you enroll,VOC,I enroll at AMA OEd because this is the most flexible way for me to earn Bachelors Degree without stopping my work and earn.,enroll ama oed flexible way earn bachelor degree without stop work earn,0.4191,Positive
2019,to pursue my Masters thru online class,All Units,Why did you enroll,VOC,to pursue my Masters thru online class,pursue master thru online class,0,Neutral
2019,To get a degree in the field of information technology.,All Units,Why did you enroll,VOC,To get a degree in the field of information technology.,get degree field information technology,0,Neutral
2019,I enrolled at AMA OEd becaue I really want to finish my Bachelor's Degree since I am already working as an Operations Trainer in a BPO Company and because of my graveyard schedule I can't enroll in a University where I needed to be physically present. I am 22 years old and finishing my study is really important to me.,All Units,Why did you enroll,VOC,I enrolled at AMA OEd becaue I really want to finish my Bachelor's Degree since I am already working as an Operations Trainer in a BPO Company and because of my graveyard schedule I can't enroll in a University where I needed to be physically present. I am 22 years old and finishing my study is really important to me.,enrol ama oed becaue really want finish bachelor degree since already work operation trainer bpo company graveyard schedule enroll university need physically present year old finish study really important,0.1245,Positive
2019,Pursuing my degree in a traditional school while supporting my family is hard especially when you're in a BPO industry and working in a graveyard shift. AMA OEd gave me the chance to continue my studies while providing for my family. I can study during my free time and breaks and I still get to have a complete rest because everything is done online.,All Units,Why did you enroll,VOC,Pursuing my degree in a traditional school while supporting my family is hard especially when you're in a BPO industry and working in a graveyard shift. AMA OEd gave me the chance to continue my studies while providing for my family. I can study during my free time and breaks and I still get to have a complete rest because everything is done online.,pursue degree traditional school support family  especially bpo industry work graveyard shift ama oed give chance continue study provide family study free time break still get complete rest everything online,0.6597,Positive
2019,Because of the flexibility it offers to the students and also so I can study at the comfort of my home.,All Units,Why did you enroll,VOC,Because of the flexibility it offers to the students and also so I can study at the comfort of my home.,flexibility offer also study comfort home,0.5994,Positive
2019,because AMA is providing a high quality distance education to those people who really want finish there degree.,All Units,Why did you enroll,VOC,because AMA is providing a high quality distance education to those people who really want finish there degree.,ama provide high quality distance education people really want finish degree,0.1513,Positive
2019,To have a BS degree,All Units,Why did you enroll,VOC,To have a BS degree,b degree,0,Neutral
2019,I wanted to continue my studies while I'm overseas,All Units,Why did you enroll,VOC,I wanted to continue my studies while I'm overseas,want continue study overseas,0.0772,Positive
2019,"I choose AMA Oed because aside for its being well known school,it is the first full online education program in the Philippines. Im taking up BSBA-MIS which is in line with my current work right now as Finance and HR.",All Units,Why did you enroll,VOC,"I choose AMA Oed because aside for its being well known school,it is the first full online education program in the Philippines. Im taking up BSBA-MIS which is in line with my current work right now as Finance and HR.",choose ama oed aside well know school first full online education program philippine im take bsba mi line current work right finance hr,0.2732,Positive
2019,I enroll at AMA OEd because i have disease called ankylosing spondylitis and rheumatoid arthritis that's why I enroll here.,All Units,Why did you enroll,VOC,I enroll at AMA OEd because i have disease called ankylosing spondylitis and rheumatoid arthritis that's why I enroll here.,enroll ama oed disease call ankylose spondylitis rheumatoid arthritis enroll,0,Neutral
